nome;descricao;img1;grupo;img2;img3;img4;img5;img6;sugestao
Conjunto de Loiça Decorativa Azul;Estas peças demonstram a variedade de produtos que temos para lhe oferecer. Com camadas e linhas bem definidas este conjunto de peças em tons de azul marinho são ideias para quem gosta de um estilo de decoração mais clássico. Porque não regressarmos à primeira metade do século XX?;static/produtos/loicas/Decorativas/_D__Conjunto_de_3_pecas_Azuis.png;72;;;;;;A peça em maior destaque assenta que nem uma luva na mesa da sala de jantar onde recebemos os nossos convidados. Os potes mais pequenos em forma de pêra são o ideal para guardar pequenos objetos que estão sempre a perder-se em casa.
Conjunto de pássaros;Pertencendo ao Coração da Serra da Estrela, o Quadradinho não se esquece dos seus amigos voadores, os pássaros. O canto melodioso deles deixa-nos a todos encantados. Estas peças (disponíveis em várias cores) embora não alegrem o nosso dia com o seu chilrear, certamente encantam toda a gente com a sua beleza ímpar.;static/produtos/loicas/Decorativas/_D__Conjunto_de_Passaros.png;72;;;;;;Em relação à decoração, sugerimos que os coloque num ponto alto dentro de casa. Em relação aos passarinhos e aves da vida real, sugerimos que experiencie o momento de libertação de uma ave, algo deslumbrante e fantástico que recomendamos a todos.
Conjunto Decorativo em tons dourados;Estas peças demonstram a variedade de produtos que temos para lhe oferecer. Com contornos e linhas que dão a ideia de estarem desalinhadas ou de desorganização, este conjunto decorativo em tons dourados são perfeitos para um estilo de decoração moderno.;static/produtos/loicas/Decorativas/_D__Conjunto_Decorativo.png;72;;;;;;Modernidade é a palavra-chave destas peças. Se está à procura de decorar a sua nova casa ou redecorar a casa atual, retiramos-lhe um problema com este conjunto ótimo para a sua sala de jantar e sala de estar.
Conjunto Redondo de pratos;Conjunto de prato principal, prato de sopa e prato de sobremesa de Natal redondo. Com a nossa querida e habitual Árvore de Natal no centro e agora apresentada de forma original, este conjunto de pratos será mais uma ótima companhia para a sua Ceia de Natal e passará certamente a fazer parte da sua família!;static/produtos/loicas/Utilitarias/_U__Conjunto_Redondo_de_pratos_-_Natal.png;73;;;;;;Oferecer à sua cara-metade como prenda de anos para além de muito amor e carinho.
Conjunto Retangular de travessas;Conjunto de travessas pequena, média e grande para adaptar as doses servidas no seu jantar ao tamanho da sua família! Vermelhas com símbolos de Natal em branco, a beleza destas travessas faz qualquer um ter ainda mais vontade que chegue a Ceia e o Dia de Natal para as utilizarmos!;static/produtos/loicas/Utilitarias/_U__Conjunto_Retangular_de_pratos_-_Natal.png;73;;;;;;Oferecer à sua cara-metade, aos seus pais ou aos seus sogros como prenda de anos.
Conjunto de Jarros;Jarros em forma de garrafa para colocar as mais belas flores do seu jardim. A sua cor escura espelhada e as linhas que os definem dão um ar tão simples a estes jarros, mas ao mesmo tempo um estilo moderno e atual.;static/produtos/loicas/Utilitarias/_U__Jarros.png;73;;;;;;Seja romântico(a) e ofereça este jarro com flores ao amor da sua vida. Afinal quem não gosta de receber flores?
Pijamas Menino;A hora de deitar é fundamental para os mais pequenos criarem hábitos saudáveis e dormir bem é vital para um dia em cheio. E o que existe melhor do que estes pijamas confortáveis e divertidos para os pequenos? Disponíveis em diferentes cores e tamanhos.;static/produtos/pijamas/Crianca/menino/_C__Pijama_Azul_Boneco_Menino.png;8;static/produtos/pijamas/Crianca/menino/_C__Pijama_Azul_Menino.png;static/produtos/pijamas/Crianca/menino/_C__Pijama_Carro_Crianca.png;static/produtos/pijamas/Crianca/menino/_C__Pijama_Cinza-Azul_Menino.png;static/produtos/pijamas/Crianca/menino/_C__Pijama_Cinzento_Menino.png;;Um pijama e um peluche do melhor amigo do homem para fazer companhia na hora de dormir é a combinação perfeita para um presente.
Pijamas Menina;A hora de deitar é fundamental para os mais pequenos criarem hábitos saudáveis e dormir bem é vital para um dia em cheio. E o que existe melhor do que estes pijamas confortáveis e divertidos para as pequenas? Disponíveis em diferentes cores e tamanhos.;static/produtos/pijamas/Crianca/menina/_C__Pijama_Cor-de-Rosa_Menina.png;8;static/produtos/pijamas/Crianca/menina/_C__Pijama_Menina.png;static/produtos/pijamas/Crianca/menina/_C__Pijama_Urso_Menina.png;static/produtos/pijamas/Crianca/menina/_C__Pijama_Bonecas_Menina.png;static/produtos/pijamas/Crianca/menina/_C__Pijama_Cinzento_Menina.png;static/produtos/pijamas/Crianca/menina/_C__Pijama_Coelho_Menina.png;Um pijama e um peluche do melhor amigo do homem para fazer companhia na hora de dormir é a combinação perfeita para um presente.
Pijama Homem;Dar ferramentas para o conforto é um dos nossos objetivos principais e este é mais um exemplo disso, pijama para homem e disponível em vários tamanhos.;static/produtos/pijamas/Homem/_H__Pijama_Quadrados_Homem.png;8;;;;;;É nos pequenos gestos que se dá e recebe carinho e porque não oferecer um pijama do Quadradinho?
Pijama Mulher;Dar ferramentas para o conforto é um dos nossos objetivos principais e este é mais um exemplo disso, pijama para mulher e disponível em vários tamanhos.;static/produtos/pijamas/Mulher/_M__Pijama_Cor-de-Rosa_Mulher.png;8;;;;;;É nos pequenos gestos que se dá e recebe carinho e porque não oferecer um pijama do Quadradinho?
Conjunto de Banho;Um conjunto de banho que contém toalhas para rosto, mãos e corpo de diferentes tamanhos com um padrão peculiar. Conjunto disponível em tons de Bege-Castanho e em tons Cinza-Azul.;static/produtos/jogos_banho/Conjunto_de_Banho_Tons_Bege-Castanho.png;9;static/produtos/jogos_banho/Conjunto_de_Banho_Tons_Cinza-Azul.png;;;;;Dê personalidade e vivacidade à sua casa de banho com um destes conjuntos.
Babetes;O aliado mais importante na hora da refeição das crianças, estes babetes são de fácil utilização tanto para si como para o bebé. O fecho de tirar e colar possibilita que não aperte demasiado nem de menos. Disponíveis em diferentes cores e tamanhos.;static/produtos/bebe/Babetes_1.png;10;static/produtos/bebe/Babete_2.png;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
Conjunto Roupa;Um conjunto de roupa para bebé que para além de quentinho, é de ótima qualidade. Mais conjuntos disponíveis em outras cores.;static/produtos/bebe/Conjunto_Azul.png;10;;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
Conjunto Manta e Boneco;Um peluche e uma manta de 75x90cm é a proposta perfeita para um sábado à tarde de filmes da Disney com o seu filho. De que está à espera?;static/produtos/bebe/Conjunto_Manta_Boneco.png;10;static/produtos/bebe/Conjunto_Manta_Boneco_2.png;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
Pantufinhas Bebé;Conjunto de várias pantufinhas de algodão para o bebé, com diferentes formas e feitios. Não há como não se render a ter já uns nos pés do seu petiz!;static/produtos/bebe/Pantufinhas.png;10;;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
Pijama Bebé;Se para adultos e crianças temos, para bebé não podia faltar. Um pijama de bebé de cor vermelha, disponível em vários tamanhos.;static/produtos/bebe/Pijama.png;10;;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
Poncho Bebé;E para combinar com a mãe, que tal a combinação entre um poncho para a bebé com um dos variadíssimos ponchos para adulto. Quentinho e confortável e, ainda, dá um estilo único.;static/produtos/bebe/Poncho_Tons_Branco-Rosa.png;10;;;;;;Tem um amigo com bebés e não sabe o que lhe oferecer? Aqui está a sua solução!
